ticker,second_ts,yes_open,yes_high,yes_low,yes_close,contracts,trade_count,yes_vwap
KXBTC15M-26SEP051745-45,1788644534,0.58,0.59,0.58,0.59,1224.06,26,0.5820867441138506
KXBTC15M-26SEP051745-45,1788644535,0.58,0.59,0.58,0.59,1639.06,42,0.5854345783558869
KXBTC15M-26SEP051745-45,1788644536,0.58,0.59,0.57,0.59,3764.15,63,0.5798151773972875
KXBTC15M-26SEP051745-45,1788644537,0.59,0.59,0.56,0.58,8255.39,55,0.5796005518818614
KXBTC15M-26SEP051745-45,1788644538,0.59,0.59,0.58,0.58,1095.11,35,0.5868499054889463
KXBTC15M-26SEP051745-45,1788644539,0.59,0.61,0.58,0.6,2582.84,33,0.5916594136686747
KXBTC15M-26SEP051745-45,1788644540,0.6,0.62,0.6,0.62,1009.36,40,0.6112623840849647
KXBTC15M-26SEP051745-45,1788644541,0.62,0.62,0.61,0.61,990.93,38,0.6143636785645807
KXBTC15M-26SEP051745-45,1788644542,0.62,0.63,0.61,0.63,481.36,34,0.6245591656971913
KXBTC15M-26SEP051745-45,1788644543,0.63,0.64,0.62,0.62,1754.45,55,0.6273528456211348
KXBTC15M-26SEP051745-45,1788644544,0.63,0.64,0.62,0.63,1326.39,39,0.629460792074729
KXBTC15M-26SEP051745-45,1788644545,0.64,0.65,0.63,0.64,1959.63,38,0.6413458152814562
KXBTC15M-26SEP051745-45,1788644546,0.64,0.65,0.63,0.64,1146.26,34,0.63701193446513
KXBTC15M-26SEP051745-45,1788644547,0.64,0.65,0.63,0.65,943.96,47,0.6441626763845926
KXBTC15M-26SEP051745-45,1788644548,0.65,0.65,0.64,0.65,1069.3500000000001,26,0.6464369009211202
KXBTC15M-26SEP051745-45,1788644549,0.65,0.66,0.64,0.66,487.48,33,0.6532930581767458
KXBTC15M-26SEP051745-45,1788644550,0.66,0.66,0.65,0.66,2996.32,41,0.6529958415656539
KXBTC15M-26SEP051745-45,1788644551,0.65,0.67,0.65,0.65,6536.76,68,0.6614776280603847
KXBTC15M-26SEP051745-45,1788644552,0.65,0.67,0.65,0.65,885.26,40,0.6535568081693515
KXBTC15M-26SEP051745-45,1788644553,0.66,0.67,0.65,0.66,1678.75,45,0.6553365301563663
KXBTC15M-26SEP051745-45,1788644554,0.65,0.69,0.65,0.68,3555.24,61,0.6753999729976036
KXBTC15M-26SEP051745-45,1788644555,0.68,0.68,0.66,0.67,1166.99,39,0.6630303601573279
KXBTC15M-26SEP051745-45,1788644556,0.66,0.72,0.66,0.7,2951.12,67,0.6927228645395647
KXBTC15M-26SEP051745-45,1788644557,0.7,0.83,0.7,0.83,21408.3,253,0.7846069608516324
KXBTC15M-26SEP051745-45,1788644558,0.82,0.83,0.81,0.82,6388.79,90,0.8222154586392729
KXBTC15M-26SEP051745-45,1788644559,0.83,0.83,0.82,0.82,7547.05,139,0.8255736744820824
KXBTC15M-26SEP051745-45,1788644560,0.82,0.83,0.77,0.83,7490.61,127,0.8031873505629048
KXBTC15M-26SEP051745-45,1788644561,0.82,0.84,0.8,0.83,5427.6,122,0.8211594074729162
KXBTC15M-26SEP051745-45,1788644562,0.83,0.84,0.81,0.83,7002.21,134,0.8278919512553894
KXBTC15M-26SEP051745-45,1788644563,0.82,0.84,0.82,0.83,6645.96,87,0.8284857718072332
KXBTC15M-26SEP051745-45,1788644564,0.84,0.84,0.83,0.83,4536.29,86,0.8345368792559558
KXBTC15M-26SEP051745-45,1788644565,0.84,0.85,0.83,0.85,2766.13,66,0.8401265305679776
KXBTC15M-26SEP051745-45,1788644566,0.84,0.89,0.84,0.89,7357.07,139,0.8529064559668456
KXBTC15M-26SEP051745-45,1788644567,0.88,0.906,0.88,0.89,17787.45,231,0.897954225591639
KXBTC15M-26SEP051745-45,1788644568,0.89,0.908,0.85,0.89,14032.07,265,0.8949023230357318
KXBTC15M-26SEP051745-45,1788644569,0.9,0.905,0.87,0.87,9103.65,138,0.8966199656181862
KXBTC15M-26SEP051745-45,1788644570,0.87,0.9,0.86,0.9,3917.14,71,0.879682166070143
KXBTC15M-26SEP051745-45,1788644571,0.89,0.911,0.89,0.911,6846.38,139,0.9027745859855865
KXBTC15M-26SEP051745-45,1788644572,0.911,0.92,0.87,0.909,10297.34,155,0.907851920981535
KXBTC15M-26SEP051745-45,1788644573,0.909,0.929,0.88,0.89,11858.71,193,0.9034218696637325
KXBTC15M-26SEP051745-45,1788644574,0.88,0.88,0.85,0.87,7885.76,114,0.8663027279552002
KXBTC15M-26SEP051745-45,1788644575,0.88,0.88,0.85,0.86,4176.35,84,0.8690491697295485
