ticker,signal_time,exit_time,volatility,trend,side,pnl,cost,exit
KXBTC15M-26SEP050430-30,2026-09-05T08:16:00.000Z,2026-09-05T08:20:00.000Z,low,BEARISH,no,0.1399999999999999,0.74,STOP_LOSS
KXBTC15M-26SEP050545-45,2026-09-05T09:31:00.000Z,2026-09-05T09:38:00.000Z,low,BULLISH,no,0.08000000000000052,3.23,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050600-00,2026-09-05T09:47:00.000Z,2026-09-05T09:50:00.000Z,low,BEARISH,no,-0.060000000000000275,1.34,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050615-15,2026-09-05T10:01:00.000Z,2026-09-05T10:08:00.000Z,low,BEARISH,no,0.10000000000000009,1,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050630-30,2026-09-05T10:16:00.000Z,2026-09-05T10:22:00.000Z,low,BEARISH,no,0.8499999999999996,3.9400000000000004,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050700-00,2026-09-05T10:47:00.000Z,2026-09-05T10:50:00.000Z,low,BEARISH,no,0.15999999999999992,0.9000000000000001,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050715-15,2026-09-05T11:01:00.000Z,2026-09-05T11:06:00.000Z,low,NEUTRAL,no,-0.39000000000000035,1.7700000000000002,STOP_LOSS
KXBTC15M-26SEP050745-45,2026-09-05T11:31:00.000Z,2026-09-05T11:41:00.000Z,low,NEUTRAL,no,2.1299999999999994,3.57,SCALP_TAKE_PROFIT
KXBTC15M-26SEP050845-45,2026-09-05T12:33:00.000Z,2026-09-05T12:38:00.000Z,low,BULLISH,no,0.11999999999999988,0.8400000000000001,STOP_LOSS
KXBTC15M-26SEP050915-15,2026-09-05T13:04:00.000Z,2026-09-05T13:07:00.000Z,low,BULLISH,no,0.16000000000000014,0.9199999999999999,SCALP_TAKE_PROFIT
KXBTC15M-26SEP051030-30,2026-09-05T14:19:00.000Z,2026-09-05T14:23:00.000Z,low,NEUTRAL,no,-0.060000000000000275,1.35,SCALP_TAKE_PROFIT
KXBTC15M-26SEP051500-00,2026-09-05T18:47:00.000Z,2026-09-05T18:57:00.000Z,low,BEARISH,no,-0.6000000000000003,1.2200000000000002,SCALP_TAKE_PROFIT
KXBTC15M-26SEP051900-00,2026-09-05T22:46:00.000Z,2026-09-05T22:54:00.000Z,low,BEARISH,no,-1.28,2.03,STOP_LOSS
KXBTC15M-26SEP051915-15,2026-09-05T23:02:00.000Z,2026-09-05T23:09:00.000Z,low,BEARISH,no,0.039999999999999813,1.2000000000000002,SCALP_TAKE_PROFIT
KXBTC15M-26SEP052100-00,2026-09-06T00:47:00.000Z,2026-09-06T00:52:00.000Z,low,NEUTRAL,no,-0.9500000000000005,1.8300000000000003,SCALP_TAKE_PROFIT
KXBTC15M-26SEP052300-00,2026-09-06T02:46:00.000Z,2026-09-06T02:57:00.000Z,low,BEARISH,no,0.15999999999999992,1.06,SCALP_TAKE_PROFIT
